,shared_url,n_shared,from_n_users,users,n_urls,platform,from,id/url,text,n_likes,n_replies,total,url_id
61,https://www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,1,1,{'UCGeFheQ5Xl2fjbhuo7B7KFw'},{8},youtube,comment,2.515802777203286e+18,https://www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow.,9.0,2.0,11.0,instagram_comments_4_months_23
62,https://www.google.com.br/amp/s/amp.news.com.au/entertainment/celebrity-life/unearthed-texts-to-johnny-depps-doctor-reveal-the-actor-cut-his-own-finger-and-blamed-it-on-exwife-amber-heard/news-story/f9b0aab0c8ad5bc052e8f8791da7d6e7,3,1,"(2887462385.0,)",{1},instagram,comment,2.538090731641219e+18,"@isgaovieira Bem, acho que voce não deve ter lido as noticias que eu mandei, porque ele nao especifica tanto sobre o dedo. Mas que bom que você finalmente conseguiu encontrar outras notícias já que seu argumento anterior indicava que elas não existiam. Vou dar mais uma ajuda aqui que também tem essa ;) - https://www.google.com.br/amp/s/amp.news.com.au/entertainment/celebrity-life/unearthed-texts-to-johnny-depps-doctor-reveal-the-actor-cut-his-own-finger-and-blamed-it-on-exwife-amber-heard/news-story/f9b0aab0c8ad5bc052e8f8791da7d6e7",88.0,,88.0,instagram_comments_4_months_2
63,http://chng.it/r7wxtqT8N9,2,1,"(7571699105.0,)",{1},instagram,comment,2.515802777203286e+18,@feliperailen15._ http://chng.it/r7wxtqT8N9,69.0,,69.0,instagram_comments_4_months_4
64,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/22868-mortes-violentas-atingem-ate-11-vezes-mais-homens-que-mulheres-jovens,1,1,"(17373380465.0,)",{1},instagram,comment,2.481553517112598e+18,@_rrogerr https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/22868-mortes-violentas-atingem-ate-11-vezes-mais-homens-que-mulheres-jovens.  Da uma lida,23.0,,23.0,instagram_comments_4_months_17
65,https://www.cbr.com/powers-aquamans-trident-neptune-possesses/,1,1,"(24626506295.0,)",{1},instagram,comment,2.4152481687289933e+18,@hesan_aminifard https://www.cbr.com/powers-aquamans-trident-neptune-possesses/ those his powers but he does not know he can do all,6.0,,6.0,instagram_comments_4_months_34
66,https://www.google.com.mx/amp/s/www.businessinsider.com/johnny-depp-pirates-movie-set-crisis-2017-5%3famp,1,1,"(1733469043.0,)",{1},instagram,comment,2.5170751811853404e+18,@axelfaz0304 aquí está la fuente https://www.google.com.mx/amp/s/www.businessinsider.com/johnny-depp-pirates-movie-set-crisis-2017-5%3famp,50.0,,50.0,instagram_comments_4_months_6
67,http://chng.it/cz7n8nXPMS,1,1,"(8624506650.0,)",{1},instagram,comment,2.44101324106294e+18,link : http://chng.it/cz7n8nXPMS,9.0,0.0,9.0,instagram_comments_4_months_24
68,https://www.instagram.com/p/CLfHtgQA5De/?igshid=rhr38lbubz0,1,1,"(6755183296.0,)",{1},instagram,comment,2.519744582305111e+18,@serj_str https://www.instagram.com/p/CLfHtgQA5De/?igshid=rhr38lbubz0,17.0,,17.0,instagram_comments_4_months_21
69,https://www.muz1.tv/events/7110,1,1,"(15484318697.0,)",{1},instagram,comment,2.482896286467888e+18,https://www.muz1.tv/events/7110,8.0,,8.0,instagram_comments_4_months_29
70,https://www.independent.co.uk/news/world/americas/us-election-2020/proud-boys-terror-capitol-riot-b1783996.html,1,1,"(7598916537.0,)",{1},instagram,comment,2.481202871400786e+18,@zinxy8_r.i.p https://www.independent.co.uk/news/world/americas/us-election-2020/proud-boys-terror-capitol-riot-b1783996.html,3.0,,3.0,instagram_comments_4_months_41
71,youtube.com/BeraniNggak,1,1,"(5588069473.0,)",{1},instagram,comment,2.482953856662501e+18,"Lagi berduaan di rumah, tahu2 ada bayangan hitam lewat! 😱 Tonton videonya di 🔴 youtube.com/BeraniNggak",7.0,0.0,7.0,instagram_comments_4_months_33
72,https://www.change.org/p/the-walt-disney-company-we-want-johnny-depp-back-as-captain-jack-sparrow-65c54dc0-db49-47ff-bcb0-726fcf1cb81a,1,1,"(1697980059.0,)",{1},instagram,comment,2.515802777203286e+18,https://www.change.org/p/the-walt-disney-company-we-want-johnny-depp-back-as-captain-jack-sparrow-65c54dc0-db49-47ff-bcb0-726fcf1cb81a,4.0,,4.0,instagram_comments_4_months_39
73,https://www.change.org/p/the-walt-disney-company-we-want-johnny-depp-back-as-captain-jack-sparrow-65c54dc0-db49-47ff-bcb0-726fcf1cb81a,94,14,"(8.253189287254671e+17, 1.268173251244626e+18, 7.753552564107018e+17, 8.797256638334771e+17, 9.27931535541588e+17, 1.2842191137165558e+18, 19978336.0, 4583281223.0, 1.1661020532795515e+18, 1.0972394276325828e+18, 1.2576576988473057e+18, 2241916310.0, 479031000.0, 1.3502551526372923e+18)",{1},twitter,tweet,2.515802777203286e+18,https://www.change.org/p/the-walt-disney-company-we-want-johnny-depp-back-as-captain-jack-sparrow-65c54dc0-db49-47ff-bcb0-726fcf1cb81a,4.0,,4.0,instagram_comments_4_months_39
74,https://www.change.org/p/the-walt-disney-company-we-want-johnny-depp-back-as-captain-jack-sparrow-65c54dc0-db49-47ff-bcb0-726fcf1cb81a,1,1,{1.32725448511522e+18},{2},twitter,tweet,2.515802777203286e+18,https://www.change.org/p/the-walt-disney-company-we-want-johnny-depp-back-as-captain-jack-sparrow-65c54dc0-db49-47ff-bcb0-726fcf1cb81a,4.0,,4.0,instagram_comments_4_months_39
75,http://chng.it/w8RnpBfD2f,1,1,"(41433524061.0,)",{1},instagram,comment,2.515802777203286e+18,@seba.ignaciio_nr http://chng.it/w8RnpBfD2f,33.0,,33.0,instagram_comments_4_months_10
76,https://www.dailymail.co.uk/news/article-9474979/amp/Johnny-Depp-says-police-bodycam-footage-PROVES-Amber-Heard-lying.html#click=https://t.co/DPCSOVywHY,1,1,"(254610720.0,)",{1},instagram,comment,2.559848138984614e+18,https://www.dailymail.co.uk/news/article-9474979/amp/Johnny-Depp-says-police-bodycam-footage-PROVES-Amber-Heard-lying.html#click=https://t.co/DPCSOVywHY Nope,5.0,0.0,5.0,instagram_comments_4_months_38
77,https://www.hollywoodreporter.com/news/marvel-shake-up-film-chief-819205,1,1,"(26267867.0,)",{1},instagram,comment,2.546104628246705e+18,"@wolf_sazen the story broke August 2015 

https://www.hollywoodreporter.com/news/marvel-shake-up-film-chief-819205",827.0,,827.0,instagram_comments_4_months_0
